# ID RA Dec
050983 182.9845458 47.5283667
051109 243.0480708 54.0090167
051129 243.5602083 54.8016444
051147 149.8681708 0.7235472
051195 241.1689292 55.5560222
051213 242.2990833 55.7521694
051416 184.8575958 46.4608194
051598 240.6731083 55.1732222
052052 242.6961750 55.9190528
052122 149.4696417 0.9607528
052128 159.3548208 58.2252778
052136 213.2268667 52.7923639
052137 214.2676667 54.2311417
052140 214.2190292 54.1795167
052144 150.4836708 1.8147472
052212 148.8134375 1.5458806
052215 148.7406667 1.5944722
052220 149.0576500 1.5503472
052224 150.1641542 1.0040500
052228 150.4598542 1.0124333
052235 150.3429458 0.9817139
052258 149.8572375 0.9132389
052281 149.5705458 1.0487944
052289 150.1852167 1.0471639
052300 243.3494333 55.7923000
060004 211.5961375 52.5505333
060015 240.9594250 54.2101611
060020 212.4829833 53.0464583
060029 244.6882333 54.2402944
060053 243.0192583 56.1720639
060055 213.6552917 52.8066111
060088 242.5837042 54.4220806
060096 211.4246708 53.4711278
060139 214.1102833 52.6980306
060141 242.4128833 54.2691528
060157 211.5962625 52.7917694
060169 243.3143417 54.4433194
060193 351.2487208 -0.3529222
060195 351.3700333 -0.1234750
060198 211.3707208 53.7291278
060199 212.4131667 53.6430611
060206 334.6715875 0.4075333
060212 333.9379417 0.4927583
060220 351.3384958 0.1731083
060222 351.1623958 0.1855278
060224 212.4660583 53.7908417
060230 333.2540375 0.7734694
060236 333.2522250 0.8601333
060238 333.6763333 0.7976972
060242 213.1521333 54.0499417
060249 334.9641833 0.8977278
060255 352.2904417 0.3314611
060259 353.2349708 0.2944139
060263 243.6448542 55.7385833
060270 333.4077125 1.2398806
060271 334.0900375 1.2508194
060281 352.3716250 0.7712250
060284 242.9351458 56.0856639
060287 244.9957000 54.4227778
060289 213.2818875 53.2177333
060304 241.9918458 54.7924139
060321 212.4457625 52.4329056
060338 240.3744042 54.5695750
060342 240.4344125 55.0052667
060484 213.9770458 53.6982361
060498 183.2868917 47.4796667
060520 184.1683875 47.7045111
060633 160.9754458 59.4412694
060644 243.5459583 56.1967500
060678 351.3935792 -1.2006583
060723 351.5265542 -1.0549861
060939 333.9885083 1.0883611
061025 244.9456125 54.4989611
061131 211.8176958 52.4036472
061133 243.1597583 53.5487556
061135 241.3314625 54.3499389
061139 245.0308542 54.2873528
061143 240.3360917 55.1399500
061153 36.0926542 -5.6324667
061160 244.9547000 54.5147944
061190 35.6817625 -4.9531778
061191 36.2770292 -5.0008528
061192 35.1283167 -4.9976611
061195 35.9310375 -4.1082722
061196 34.7270375 -4.2452667
061197 35.4774542 -4.1886083
061198 36.5108083 -4.1124889
061199 35.0208333 -4.0609083
061200 35.3789625 -3.9106972
061201 35.4370542 -3.6736167
061202 35.4112833 -3.6289556
061210 36.8220458 -3.2904222
070003 333.0414708 0.7192806
070004 335.0862833 0.5240111
070020 353.2168917 -0.7593000
070039 334.6540708 0.6184417
070048 241.0171042 54.1987500
070050 243.2581083 54.7745889
070054 242.9387000 55.2991667
070055 244.9144125 55.4175139
070071 334.9851792 -0.4419250
070091 333.8366292 0.5914167
070096 243.1300292 53.8092111
070110 35.2825792 -5.1004167
070111 36.3931500 -5.2186472
070115 333.4872125 -0.7133500
070116 334.1763333 -0.5735750
070136 241.3622167 54.4250667
070138 241.7416000 54.4844306
070142 352.7352500 -0.9650222
070150 352.6417917 -0.8757056
070151 352.9661750 -0.8101250
070159 334.0250667 -0.2707806
070162 334.9077667 -0.3016139
070175 241.9034125 54.8097667
070178 332.8911958 0.2154750
070182 34.6007875 -4.2033778
070194 240.8958208 55.3801000
070200 36.6602583 -3.6160639
070201 242.9186583 55.3496444
070224 241.2207958 54.4185861
070232 243.3731167 54.4182306
070242 36.8001542 -4.5346861
070249 351.3669042 -0.3133583
070264 333.4482167 0.4411806
070279 36.3526500 -3.7818750
070283 335.1000000 0.6596083
070291 35.0173958 -3.5128056
070293 36.3371167 -3.4847750
070299 334.0137167 1.0292472
070302 333.4999208 1.2285389
070322 334.6687875 -0.4497778
070339 243.2507000 55.8095833
070357 36.4011083 -5.0043556
070359 240.8493667 54.0940250
070361 240.9828500 54.1178389
070402 243.3909875 54.3021889
070404 240.3390458 54.7643833
070429 244.4874792 54.6637083
070450 242.8026958 54.9748278
070459 333.1817000 0.6117917
070470 34.9500250 -3.7029083
070472 242.7095958 55.5946500
070488 351.2810500 0.2892528
070510 35.4087792 -5.5087611
070515 36.4631667 -5.4048889
070516 36.8202375 -5.3680611
070529 35.2751792 -5.0233861
070530 36.2909000 -5.0434083
070557 335.0902417 0.6456361
070567 333.3269042 0.8128417
070599 242.0254083 53.7136639
070607 34.6958167 -5.0344528
070610 351.4872125 -0.8992139
070611 244.5371500 53.9719806
070612 244.6280042 54.3864917
070614 351.4692750 -0.1048639
070615 243.1639625 55.0692278
070620 333.7900625 1.0499833
070622 242.5923333 53.5772472
070648 34.6647708 -4.8219861
070678 352.9284250 -0.9051583
070692 245.0465417 54.3437083
070714 353.3263458 -0.7614889
070719 351.4738958 -0.5371944
070732 35.4357625 -4.2929306
070735 37.1998708 -4.2859639
070749 333.1066875 0.2778500
070763 352.4533125 -0.2914083
070764 350.8392667 -0.3380972
070767 351.7261792 -0.2599889
070771 35.6450167 -4.0912250
070806 35.4862000 -3.8368694
070813 244.6603500 55.1888139
070839 36.1874667 -3.6765694
070841 34.8679375 -3.3500861
070858 334.5926792 0.7564528
070877 35.3266542 -3.4551000
070914 353.0132917 0.6025333
070932 241.6206625 54.9418306
070948 243.8611167 55.0167667
070950 244.4198125 55.0434889
070955 241.4753708 55.1978306
070961 334.4378292 -0.9928667
070968 333.2822625 -0.1663194
070985 353.0437833 -0.5368083
070986 353.3179917 -0.5221222
070987 333.5238583 0.0277889
070992 35.0764083 -4.1369806
071007 333.9060333 1.2608139
071011 333.2053375 -0.7071083
071017 35.4047958 -4.1573083
071032 334.8052875 0.8738694
071035 244.8226750 55.0619306
071060 240.3169333 55.4772917
071072 35.2688833 -3.1041139
071096 36.5798792 -4.5883306
071113 242.9343083 55.1477139
071149 36.0923125 -3.7560417
071164 36.8646000 -3.6611667
071171 35.1860208 -4.7831250
071203 36.8908917 -3.3161056
071213 36.0886083 -3.1486667
071231 36.5172833 -5.1796917
071245 333.7619750 -0.8651694
071258 36.8838042 -4.9069056
080010 242.2921167 54.3865056
080012 333.5353417 -0.1685778
080015 240.3782542 54.8762500
080021 241.5882417 53.8916333
080023 351.6631333 -0.7172056
080028 351.9191125 -0.3361556
080031 352.0736667 -0.2498000
080034 333.8532583 0.5363000
080048 36.1052292 -5.0123167
080049 53.4738292 -28.6669361
080052 242.0829917 54.3315556
080054 353.4512042 -1.0303278
080064 52.4252958 -27.8772528
080067 244.2499625 54.7501861
080068 245.2235458 54.8185722
080069 352.2110875 -0.3049778
080072 34.6133917 -4.0683611
080077 333.2379625 0.4183639
080078 333.5297542 0.5365083
080079 353.1179625 -0.3620722
080081 352.9906208 -0.2634111
080087 244.6179750 55.2437389
080090 333.3648917 0.9426389
080091 54.3843208 -27.1461972
080093 243.8606125 55.5289528
080098 351.5776792 0.5701389
080103 243.1846917 56.0326667
080108 352.4367833 -0.4038139
080134 53.8107917 -28.1653556
080135 51.8091708 -27.8665833
080143 52.8698583 -27.0436111
080146 52.8296500 -26.8645639
080154 333.8684042 1.1572806
080160 241.6927208 54.1087861
080164 240.6637958 54.3865861
080165 241.8594167 54.3636861
080175 351.8622542 -0.5109528
080206 333.5489875 0.7323556
080233 351.3901708 -1.0416278
080237 52.6562375 -28.3716889
080238 332.9332125 -0.3578306
080241 52.1351750 -28.0715917
080242 53.1203917 -27.9811333
080252 36.1732042 -3.7833528
080253 36.5643375 -3.6440972
080257 54.4331583 -27.3209083
080260 53.4498167 -27.1931000
080261 53.7998083 -27.1964389
080273 352.8680208 0.5908750
080277 242.3236542 56.4400861
080284 351.7928333 -1.1845306
080289 333.3022958 -0.1726528
080292 351.3135417 -0.2167778
080295 36.1811750 -4.1597083
080296 35.4570083 -3.9213833
080300 54.1781583 -27.5808889
080308 242.6694333 55.9284278
080316 53.3243500 -28.7452583
080325 352.4301708 -0.6610444
080333 332.8506667 0.1620806
080337 333.7641625 0.5905222
080343 54.3693625 -27.7232000
080346 52.8290250 -27.3401306
080347 54.3482208 -27.5810500
080352 36.1513625 -5.5661472
080363 51.6617583 -27.9206500
080364 51.6810875 -27.8430250
080367 334.7398042 -0.1656111
080380 242.1335667 55.3404500
080423 243.9981708 54.2110722
080424 351.0880542 -1.0674000
080431 53.1313333 -28.1873333
080432 53.9811208 -28.1320944
080438 52.9373250 -27.6830000
080441 35.0108292 -3.7539111
080455 53.8827500 -26.6121194
080465 52.8399125 -28.5253750
080481 52.8117542 -27.9322611
080491 34.8219667 -4.0770778
080492 36.0506083 -3.9325611
080516 36.1341917 -5.4354167
080517 36.4417292 -5.4229222
080536 36.5264333 -4.7291806
080546 35.3486875 -4.0070861
080554 35.2501625 -3.6718778
080555 35.3979000 -3.6578806
080624 335.0414833 -0.0017361
080646 334.6222125 0.9414861
080689 36.4062667 -5.2440306
080693 352.7356167 -0.8573917
080713 333.8111375 0.1248000
080723 34.9863667 -3.9606056
